高等学校,,,,,,,,
,,,,,,,,令和4年4月1日現在
,神奈川県立湘南高等学校,しょうなん,251-0021,藤沢市鵠沼神明5-6-10,(0466)26-4151,(0466)28-0020,"全日・
定時単位",普通
,神奈川県立藤沢西高等学校,ふじさわにし,251-0861,藤沢市大庭3608-2,(0466)87-2150,(0466)87-9704,全日,普通
,神奈川県立藤沢工科高等学校,ふじさわこうか,252-0803,藤沢市今田744,(0466)43-3402,(0466)43-4942,全日,総合技術
,神奈川県立藤沢清流高等学校,ふじさわせいりゅう,251-0002,藤沢市大鋸1450,(0466)82-8111,(0466)83-3536,全日単位,普通
,神奈川県立藤沢総合高等学校,ふじさわそうごう,252-0801,藤沢市長後1909,(0466)45-5200,(0466)46-0817,全日単位,総合
,神奈川県立湘南台高等学校,しょうなんだい,252-0805,藤沢市円行1986,(0466)45-6600,(0466)46-0787,全日,普通
,神奈川県立小田原高等学校,おだわら,250-0045,小田原市城山3-26-1,(0465)23-1201,(0465)23-6144,"全日単位・
定時単位",普通
,神奈川県立小田原東高等学校,おだわらひがし,250-0003,小田原市東町4-12-1,(0465)34-2847,(0465)35-9038,全日,普通、総合ビジネス
,神奈川県立西湘高等学校,せいしょう,256-0816,小田原市酒匂1-3-1,(0465)47-2171,(0465)48-2350,全日,普通
,神奈川県立小田原城北工業高等学校,おだわらじょうほくこうぎょう,250-0852,小田原市栢山200,(0465)36-0111,(0465)37-5425,全日・定時,"（全日）機械・建設・電気・デザイン
（定時）機械・電気"
,神奈川県立茅ケ崎高等学校,ちがさき,253-0042,茅ヶ崎市本村3-4-1,(0467)52-2225,(0467)54-2117,全日・定時,普通
,神奈川県立茅ケ崎北陵高等学校,ちがさきほくりょう,253-0081,茅ヶ崎市下寺尾128,(0467)51-0311,(0467)54-2160,全日,普通
,神奈川県立鶴嶺高等学校,つるみね,253-0084,茅ヶ崎市円蔵1-16-1,(0467)52-6601,(0467)54-2124,全日,普通
,神奈川県立茅ケ崎西浜高等学校,ちがさきにしはま,253-0061,茅ヶ崎市南湖7-12869-11,(0467)85-0008,(0467)87-7899,全日,普通
,神奈川県立逗子高等学校,ずし,249-0003,逗子市池子4-1025,(046)871-3218,(046)871-0494,全日,普通
,神奈川県立逗葉高等学校,ずよう,249-0005,逗子市桜山5-24-1,(046)873-7322,(046)873-9045,全日,普通
,神奈川県立三浦初声高等学校,みうらはっせ,238-0113,三浦市初声町入江274-2,(046)889-1771,(046)888-3857,全日単位,普通・都市農業
,神奈川県立秦野高等学校,はだの,257-0004,秦野市下大槻113,(0463)77-1422,(0463)79-1886,全日,普通
,神奈川県立秦野総合高等学校,はだのそうごう,257-0013,秦野市南が丘1-4-1,(0463)82-1400,(0463)83-4092,"全日単位・
定時単位",総合
,神奈川県立秦野曽屋高等学校,はだのそや,257-0031,秦野市曽屋3613-1,(0463)82-4000,(0463)83-5342,全日,普通
,神奈川県立厚木高等学校,あつぎ,243-0031,厚木市戸室2-24-1,(046)221-4078,(046)222-8243,全日,普通
,神奈川県立厚木東高等学校,あつぎひがし,243-0817,厚木市王子1-1-1,(046)221-3158,(046)222-8204,全日,普通
,神奈川県立厚木商業高等学校,あつぎしょうぎょう,243-0817,厚木市王子3-1-1,(046)223-6669,(046)222-8244,全日,総合ビジネス
,神奈川県立厚木北高等学校,あつぎきた,243-0203,厚木市下荻野886,(046)241-8001,(046)242-6948,全日,普通・スポーツ科学
,神奈川県立厚木清南高等学校,あつぎせいなん,243-0021,厚木市岡田1-12-1,(046)228-2015,(046)229-2674,"全日単位・
定時単位・
通信単位",普通
,神奈川県立厚木西高等学校,あつぎにし,243-0123,厚木市森の里青山12-1,(046)248-1705,(046)248-7461,全日,普通
,神奈川県立大和高等学校,やまと,242-0002,大和市つきみ野3-4,(046)274-0026,(046)277-0691,全日,普通
,神奈川県立大和南高等学校,やまとみなみ,242-0014,大和市上和田2557,(046)269-5050,(046)268-4390,全日,普通
,神奈川県立大和東高等学校,やまとひがし,242-0011,大和市深見1760,(046)264-1515,(046)262-3655,全日,普通
,神奈川県立大和西高等学校,やまとにし,242-0006,大和市南林間9-5-1,(046)276-1155,(046)277-0681,全日,普通
,神奈川県立伊勢原高等学校,いせはら,259-1142,伊勢原市田中1008-3,(0463)95-2578,(0463)96-2558,全日・定時,普通
