,ニュースリスト
1030,3720
1031,3740
1032,3693
1033,3712
1034,2569100
1035,3712
1036,2019-08-15
1037,3610
1038,3645
1039,3600
1040,3641
1041,2423800
1042,3641
1043,2019-08-16
1044,3640
1045,3672
1046,3628
1047,3664
1048,1909200
1049,3664
1050,2019-08-19
1051,3682
1052,3698
1053,3654
1054,3670
1055,1314300
1056,3670
1057,2019-08-20
1058,3680
1059,3698
1060,3665
1061,3694
1062,1179400
1063,3694
1064,2019-08-21
1065,3646
1066,3685
1067,3644
1068,3649
1069,2332000
1070,3649
1071,2019-08-22
1072,3658
1073,3704
1074,3642
1075,3650
1076,1931200
1077,3650
1078,2019-08-23
1079,3640
1080,3671
1081,3625
1082,3640
1083,1560500
1084,3640
1085,2019-08-26
1086,3537
1087,3553
1088,3504
1089,3516
1090,3241300
1091,3516
1092,2019-08-27
1093,3566
1094,3578
1095,3547
1096,3563
1097,2050200
1098,3563
1099,2019-08-28
1100,3556
1101,3579
1102,3543
1103,3569
1104,2022100
1105,3569
1106,2019-08-29
1107,3565
1108,3574
1109,3512
1110,3521
1111,2313400
1112,3521
1113,2019-08-30
1114,3640
1115,3642
1116,3591
1117,3629
1118,3570400
1119,3629
1120,2019-09-02
1121,3628
1122,3661
1123,3619
1124,3658
1125,1666000
1126,3658
1127,2019-09-03
1128,3658
1129,3730
1130,3653
1131,3725
1132,2141100
1133,3725
1134,2019-09-04
1135,3718
1136,3732
1137,3693
1138,3713
1139,1897400
1140,3713
1141,2019-09-05
1142,3774
1143,3911
1144,3764
1145,3901
1146,5081600
1147,3901
1148,2019-09-06
1149,3922
1150,3931
1151,3891
1152,3923
1153,3095200
1154,3923
1155,2019-09-09
1156,3919
1157,3964
1158,3915
1159,3963
1160,2142400
1161,3963
1162,2019-09-10
1163,3980
1164,4006
1165,3969
1166,3989
1167,2887000
1168,3989
1169,2019-09-11
1170,4007
1171,4100
1172,3988
1173,4100
1174,4695900
1175,4100
1176,2019-09-12
1177,4140
1178,4172
1179,4121
1180,4161
1181,3877100
1182,4161
1183,2019-09-13
1184,4165
1185,4172
1186,4074
1187,4144
1188,4983200
1189,4144
1190,2019-09-17
1191,4074
1192,4142
1193,4047
